arg1,arg2,relation,connective,type,original_utt,original_utt_prev
it gets a bad rap ,the studio had to cut a lot of footage to get in to go into the ratings.,contingency,because,mid,"i think friday the 13th part 7, the new blood, is definitely underrated. it gets a bad rap because the studio had to cut a lot of footage to get in to go into the ratings.","Oh I see! Yes, he definitely does gain something every movie. I think my favorite was either the 4th one or the 6th one. I did find the seventh one, The New Blood, interesting with Tina and her telekinetic powers."
that part was scary ,it felt like ghosts could finally really hurt a person.,contingency,because,mid,that part was scary because it felt like ghosts could finally really hurt a person.,"When the mom started getting bruises on her, I was terrified."
"in fact, they restrict themselves to specially ""purified"" blood ",the modern lifestyle makes himan blood gross to them.,contingency,because,mid,"it takes place in modern times. in fact, they restrict themselves to specially ""purified"" blood because the modern lifestyle makes himan blood gross to them.",Is it a modern vampire movie or a historical one?
it takes place in modern times.,", they restrict themselves to specially ""purified"" blood because the modern lifestyle makes himan blood gross to them.",expansion,in fact,begin,"it takes place in modern times. in fact, they restrict themselves to specially ""purified"" blood because the modern lifestyle makes himan blood gross to them.",Is it a modern vampire movie or a historical one?
it's about a home invasion ,the woman is a deaf-mute writer and has to survive.,comparison,but,mid,"no, the movie hush. it's about a home invasion but the woman is a deaf-mute writer and has to survive.",Are you telling me to be quiet?
"i know they said it's in a ""shared universe"" ",there was almost no connection.,comparison,but,mid,"i know they said it's in a ""shared universe"" but there was almost no connection.",How much did that link up with Cloverfield?
"seems good but i hate that it's the same ""universe"" ",doesn't work well.,comparison,but,mid,"seems good but i hate that it's the same ""universe"" but doesn't work well. kind of like prometheus and alien, right?","Yeah, it seems like the invasion that happens was the same species that fell to earth in Cloverfield."
"that's funny, ",that line is in my favorite scary movie.,contingency,because,mid,"that's funny, because that line is in my favorite scary movie.",What's your favorite scary movie?
"i love the classics too, ",i really love the original halloween movie.,comparison,but,mid,"i love the classics too, but i really love the original halloween movie.",I love the classics.  Can't go wrong with Friday the Thirteen or Nightmare on Elm Street.
it is amazing!,not as dark as the movie.,comparison,but,begin,"it is amazing! but not as dark as the movie. sheryl lee, the main actress, conveys fear and anguish so well in the film, compared to the quirkier show.",I have not seen that show. Is it any good?
do i need to see twin peaks ,i watch fire walk with me?,temporal,before,mid,do i need to see twin peaks before i watch fire walk with me?,"It is amazing! But not as dark as the movie. Sheryl Lee, the main actress, conveys fear and anguish so well in the film, compared to the quirkier show."
"there are these supernatural beings and bizarre happenings surrounding laura palmer, ",nobody but her seems to know about it.,comparison,but,mid,"there are these supernatural beings and bizarre happenings surrounding laura palmer, but nobody but her seems to know about it. she is just a teenager but she is being targeted by spirits from another world.",What makes Fire Walk With Me scary?
"there are these supernatural beings and bizarre happenings surrounding laura palmer, but nobody ",her seems to know about it.,comparison,but,mid,"there are these supernatural beings and bizarre happenings surrounding laura palmer, but nobody but her seems to know about it. she is just a teenager but she is being targeted by spirits from another world.",What makes Fire Walk With Me scary?
she is just a teenager ,she is being targeted by spirits from another world.,comparison,but,mid,"there are these supernatural beings and bizarre happenings surrounding laura palmer, but nobody but her seems to know about it. she is just a teenager but she is being targeted by spirits from another world.",What makes Fire Walk With Me scary?
"well, yes, ",the original one was a bit different.,comparison,but,mid,"well, yes, but the original one was a bit different.","I believe so, the one with Jason and the hockey mask?"
she looks different now.,still realized where i had seen her prior.thought she was great in this film.,comparison,but,begin,that's right. she looks different now. but still realized where i had seen her prior.thought she was great in this film.,Alia Shawkat is her name. she was maybe on arrested development. Sam in green room.
"she was good, ",for me the stand out girl was imogen poots.,comparison,but,mid,"she was good, but for me the stand out girl was imogen poots.",That's right. She looks different now. But still realized where I had seen her prior.Thought she was great in this film.
i would agree ,its still not his finest work.,comparison,but,mid,i would agree but its still not his finest work.,"But split specifically had a good ending, I think he developed that well."
"yeah, i liked it ",it was a clear step back from the first 3 movies in the dead series.,comparison,but,mid,"yeah, i liked it but it was a clear step back from the first 3 movies in the dead series.",Have you see Land of the Dead?
"maybe not by definition, ",they were still ravenous people eaters weren't they?,comparison,but,mid,"maybe not by definition, but they were still ravenous people eaters weren't they?","Oh, come on. There weren't any zombies in that movie."
there is an original version from the 1960s ,they made a remake.,comparison,but,mid,there is an original version from the 1960s but they made a remake.,Isn't that an old mpvie?
"jamie lee curtis also gets my vote, ",neve really revived the term scream queen for her performance in the original scream and the subsequent screams that followed it.,comparison,although,mid,"jamie lee curtis also gets my vote, although neve really revived the term scream queen for her performance in the original scream and the subsequent screams that followed it.","I think I will have to stick with the classic legendary, Jamie Lee Curtis. She was a pioneer and paved the path for Neve Campbell, her performance in the original John Carpenter's Halloween is still one of the all time best."
"prom night, terror train, the halloween series, the fog, there's so many ",she just has so much charisma on screen playing these types of roles.,expansion,and,mid,"jamie lee was the definitive scream queen of the 80's. prom night, terror train, the halloween series, the fog, there's so many and she just has so much charisma on screen playing these types of roles.","Oh don't get me wrong, Neve was superb as Sidney Prescott in the Scream series, I'm just a little biased towards Jamie Lee Curtis."
i think she needs to do more ,she's so good in horror roles.,contingency,because,mid,"she's definitely my favorite right now! i think she needs to do more because she's so good in horror roles. final destination 3, the thing, 10 cloverfield lane, black christmas, she just plays the character so well!","I'm trying to think of some modern scream queens, and the only name that comes to mind for me of late is Mary Elizabeth Winstead for all the movies she's done so far in horror."
"i think you have her mixed up with michelle trachtenberg, who said she would be in the movie only if her character was killed off ",she wouldn't return for any sequels.,contingency,because,mid,"i think you have her mixed up with michelle trachtenberg, who said she would be in the movie only if her character was killed off because she wouldn't return for any sequels.",I heard she took the role unwillingly and said she would do it if her character was killed off?
"i don't remember, ",it was pretty creepy.,comparison,but,mid,"i don't remember, but it was pretty creepy.",How did you come across that?
i think it's ,of what i read about the actor before.,contingency,because,mid,i don't know.  i think it's because of what i read about the actor before.,How could something that old be creepy?
"the monster and other elements are presented in this beautifully bizarre way, ",without a lot of digital effects.,comparison,but,mid,"no, they actually used a lot of practical effects! the monster and other elements are presented in this beautifully bizarre way, but without a lot of digital effects.",Sounds like one of those CGI monster movies.
the movie takes place in australia ,i am not sure if she is australian herself.,comparison,but,mid,a new director named jennifer kent. the movie takes place in australia but i am not sure if she is australian herself.,Oh that sounds interesting. Who is it by?
it is based on a short film ,i never saw that.,comparison,but,mid,about an hour and a half. it is based on a short film but i never saw that.,How long is the movie?
some of them are ok ,others are lame.,comparison,but,mid,some of them are ok but others are lame.,Yes.
you can say that ,many more people will say its number one than say the conjuring is even good.,comparison,but,mid,you can say that but many more people will say its number one than say the conjuring is even good.,OK I guess I know where this is headed.
"i was scared the entire time, ",it was awesome.,comparison,but,mid,"i was scared the entire time, but it was awesome.",I can only respect that.
"i was a huge fan of the first two movies in the series, ",after that it just became random.,comparison,but,mid,"i was a huge fan of the first two movies in the series, but after that it just became random.","Yeah, it really adds to the mysteriousness of it all."
Why do you think that is the best horror movie?,"it really showed us the horror that lurks behind everyday life, especially in new york city.",contingency,because,begin,"because it really showed us the horror that lurks behind everyday life, especially in new york city.","Really, that's an oldie.  Why do you think that is the best horror movie?"
"yes, i do and that is why i never accepted food or drink from anyone ",my own family when i was expecting!,comparison,but,mid,"yes, i do and that is why i never accepted food or drink from anyone but my own family when i was expecting!",Do you remember the part where the old neighbor lady gave Rosemary those drinks when she was pregnant?
"yes, i do and that is why i never accepted food ",drink from anyone but my own family when i was expecting!,expansion,or,mid,"yes, i do and that is why i never accepted food or drink from anyone but my own family when i was expecting!",Do you remember the part where the old neighbor lady gave Rosemary those drinks when she was pregnant?
"wow, i didn't know that.",that building really looked creepy and it looked like the perfect place for a bunch of witches to live!,comparison,but,begin,"wow, i didn't know that.  but that building really looked creepy and it looked like the perfect place for a bunch of witches to live!",Did you know that the movie was filmed at the Dakota where John Lennon used to live?
"that's true, ",you can fight them off.,comparison,but,mid,"that's true, but you can fight them off.","There are lots of horrors you can't avoid, though."
"it's pretty much the same thing, ",no nurse and it is in paris.,comparison,but,mid,"it's pretty much the same thing, but no nurse and it is in paris.",What is the Paris one then?
"they did, ",it was an overall good movie,comparison,but,mid,"they did, but it was an overall good movie",They made that poor little boy seem creepy
part 2 is great ,part 1 is the true wishmaster.,comparison,but,mid,part 2 is great but part 1 is the true wishmaster.,Really? I love part 2
"So, why is part 1 better?",it has a cooler story line.,contingency,because,begin,because it has a cooler story line.,"Same here. So, why is part 1 better?"
"agreed fully it's not up to par with part 3, or new nightmare, ",feel it's the best aside from those two.,comparison,but,mid,"agreed fully it's not up to par with part 3, or new nightmare, but feel it's the best aside from those two.","Not a bad choice at all, one of the stronger sequels."
"agreed fully it's not up to par with part 3, ","new nightmare, but feel it's the best aside from those two.",expansion,or,mid,"agreed fully it's not up to par with part 3, or new nightmare, but feel it's the best aside from those two.","Not a bad choice at all, one of the stronger sequels."
the original for plot line and overall creep factor.,the remake had better special effects and acting.,comparison,but,begin,the original for plot line and overall creep factor.  but the remake had better special effects and acting.,Which was the better Dawn of the Dead the original or the remake?
And the makeup was just plane lazy.,it was way scarier.,comparison,but,begin,but it was way scarier.  the fast zombies just aren't as creepy.,I know what you mean.  Some of the acting in the original was pretty suspect.  And the makeup was just plane lazy.
"i know, sometimes they are ",it doesn't churn your gut the same way.,comparison,but,mid,"i know, sometimes they are but it doesn't churn your gut the same way.",But it was way scarier.  The fast zombies just aren't as creepy.
the new one was good ,i don't really count it.,comparison,but,mid,the original of course. the new one was good but i don't really count it.,The original one or the rebooted version?
yes i love evil dead ,i liked part ii better.,comparison,but,mid,yes i love evil dead but i liked part ii better.,The original of course. The new one was good but I don't really count it.
yeah i know what you mean ,it made you fearful even more.,comparison,but,mid,yeah i know what you mean but it made you fearful even more.,"I just wish they didnt show the aliens, the aura of not knowing what they looked like."
it's not really that type of movie ,it is very creepy.,comparison,but,mid,"no, there aren't many. it's not really that type of movie but it is very creepy.",Are there a lot of jump scares in the movie?
well i don't want to spoil it too much ,the movie very much leaves that an open question for interpretation.,comparison,but,mid,well i don't want to spoil it too much but the movie very much leaves that an open question for interpretation.,Is it a supernatural horror movie?
not all of it ,a large chunk of the movie does.,comparison,but,mid,the majority of the movie takes place during the day. not all of it but a large chunk of the movie does.,What is something unique about Session 9?
"well to me it was, ",i'm a scary cat.,comparison,but,mid,"well to me it was, but i'm a scary cat.","Goodness, it was that scary?"
"so am i, ",i would probably have nightmares about it too.,contingency,so,mid,"so am i, so i would probably have nightmares about it too. i had them after watching exorcist.","Well to me it was, but I'm a scary cat."
i thought the gimmick wore thin after awhile though ,that creeping feeling we got to witness when the main characters didn't was pretty effective.,comparison,although,mid,i thought the gimmick wore thin after awhile though although that creeping feeling we got to witness when the main characters didn't was pretty effective.,"I remember the first time it occurred at the beginning of the movie, it was pretty terrifying and I was definitely pretty spooked by it."
i think we all had moments of fear like that as children ,they certainly played on those fears.,contingency,so,mid,i think we all had moments of fear like that as children so they certainly played on those fears. i could really identify with teresa palmers fears as well as the children in the movie.,I thought the gimmick wore thin after awhile though although that creeping feeling we got to witness when the main characters didn't was pretty effective.
"her background story was pretty good, about how she was a friend of the mother's ",wouldn't let go of the mother played by maria bello.,expansion,and,mid,"i liked how they actually had a background story on the ghost haunting them. her background story was pretty good, about how she was a friend of the mother's and wouldn't let go of the mother played by maria bello.",I think we all had moments of fear like that as children so they certainly played on those fears. I could really identify with Teresa Palmers fears as well as the children in the movie.
"i really liked that element of the story too, ",it gave it some heart.,contingency,because,mid,"i really liked that element of the story too, because it gave it some heart. i was shocked at the ending. you know with maria bello's character and all.","I liked how they actually had a background story on the ghost haunting them. Her background story was pretty good, about how she was a friend of the mother's and wouldn't let go of the mother played by Maria Bello."
"i kind of expected it to end the way it did which was a slight let down for me, ",overall i was pretty entertained and enjoyed it a lot.,comparison,but,mid,"i kind of expected it to end the way it did which was a slight let down for me, but overall i was pretty entertained and enjoyed it a lot.","I really liked that element of the story too, because it gave it some heart. I was shocked at the ending. You know with Maria Bello's character and all."
"i would agree with your assessment, ",you did know it was originally a japanese movie right?,comparison,but,mid,"i would agree with your assessment, but you did know it was originally a japanese movie right?","Yes, but felt it was mostly okay at best."
"i had heard about this, yes ",never felt the need to look further into it.,comparison,but,mid,"i had heard about this, yes but never felt the need to look further into it.","I would agree with your assessment, but you did know it was originally a Japanese movie right?"
there is some violence ,it's fairly minor.,comparison,but,mid,there is some violence but it's fairly minor. it's much more of an atmospheric psychological type of horror.,Is it a violent movie?
she looks innocent ,that is a good contrast with the evilness.,contingency,so,mid,she looks innocent so that is a good contrast with the evilness.,Mia Farrow was well cast in it.
i loved how they basically ended the world ,one of them didn't want to be sacrificed.,contingency,because,mid,i loved how they basically ended the world because one of them didn't want to be sacrificed. that was so selfish.,Right you see them in every scary movie.
"it really was, ",it's a movie after all.,comparison,but,mid,"it really was, but it's a movie after all. can't expect everyone to have high morals.",I loved how they basically ended the world because one of them didn't want to be sacrificed. That was so selfish.
in the beginning of the movie a car load of friends get a flat tire ,they end up in a ghost town they are forced to stop at a wax museum and this turns out to be almost as worse as a night mare on elm street.,expansion,and,mid,in the beginning of the movie a car load of friends get a flat tire and they end up in a ghost town they are forced to stop at a wax museum and this turns out to be almost as worse as a night mare on elm street.,Well yes of course you know i only go check out the scariest ones. It was staring Jared P. Elisha C.and a few other famous actors I like.
in the beginning of the movie a car load of friends get a flat tire and they end up in a ghost town they are forced to stop at a wax museum ,this turns out to be almost as worse as a night mare on elm street.,expansion,and,mid,in the beginning of the movie a car load of friends get a flat tire and they end up in a ghost town they are forced to stop at a wax museum and this turns out to be almost as worse as a night mare on elm street.,Well yes of course you know i only go check out the scariest ones. It was staring Jared P. Elisha C.and a few other famous actors I like.
it was great so okay they begin making tents to spend the night ,slowly one by one was going inside the house of wax seeing weird things and disappearing.,expansion,and,mid,it was great so okay they begin making tents to spend the night and slowly one by one was going inside the house of wax seeing weird things and disappearing.,Cool I like horror movies tell me more about the movie this one sounds really good.
and who was causing them to disappear and how were they missing i ?think i know ,go on continue.,comparison,but,mid,wow why were they disappearing? and who was causing them to disappear and how were they missing i ?think i know but go on continue.,It was great so okay they begin making tents to spend the night and slowly one by one was going inside the house of wax seeing weird things and disappearing.
i hope you will enjoy the movie ,i sure did.,contingency,because,mid,okay but i want to give you a small hint that is shocking the twins at the end turn out to be triplets. i hope you will enjoy the movie because i sure did.,I have got to check this out this horror movie so don't tell me to much about the ending I want to see it for my self.
Not as good as the first two movies though.,it had it's fair points.,comparison,but,begin,but it had it's fair points.,"Yeah, it was good.  Not as good as the first two movies though."
"i know, ",it took forever for it to come out.,comparison,but,mid,"i know, but it took forever for it to come out.",Also a set up for the next movie.
"yes, i know this, ",what happens in it?,comparison,but,mid,"yes, i know this, but what happens in it?",The Sixth Sense is a great movie. It's a horror movie.
that was awesome ,not the updated ones,comparison,but,mid,that was awesome but not the updated ones,I loved Texas Chainsaw Massacre
"well, no offense, ",i can't relate to a superhero from africa.,comparison,but,mid,"well, no offense, but i can't relate to a superhero from africa.","Meh, why?"
"i understand, ",that does sound bad.,comparison,but,mid,"i understand, but that does sound bad.","Well, no offense, but I can't relate to a superhero from Africa."
"i'm sure i'll like it, ",it's like spider-man.,comparison,but,mid,"i'm sure i'll like it, but it's like spider-man. i just don't care about the character.","I understand, but that does sound bad."
"mine either, ",i do enjoy a good fright once in awhile.,comparison,but,mid,"mine either, but i do enjoy a good fright once in awhile.","Yeah, I watch them here and there. They aren't really my favorite genre."
"it was the first horror movie i ever saw, ",i think it stayed with me a little.,contingency,so,mid,"it was the first horror movie i ever saw, so i think it stayed with me a little.",I don't think I was allowed to watch horror flicks at that age.
i'm drawing a blank.,"it sounds a lot like that recent liv tyler movie, the strangers.",comparison,but,begin,"i'm drawing a blank. but it sounds a lot like that recent liv tyler movie, the strangers.",One was a fat middle-aged lady with dark hair tied in a bun. She looked very pale and I think she was a witch. The other guy looked like a Bee Gee who kept threatening the wife.
"it is mainstream, ",it's still well-made.,comparison,but,mid,"it is mainstream, but it's still well-made.  a european directed it.",That must be pretty mainstream to have them in it.
i like period movies and vampires a lot ,it'd probably be right up my alley.,contingency,so,mid,i like period movies and vampires a lot so it'd probably be right up my alley.,"Yeah, he is in it.  He makes an impression in it."
"no, not lately.",i've been meaning to see the new alien movie.,comparison,but,begin,"no, not lately.  but i've been meaning to see the new alien movie.",Have you seen any good horror movies lately?
i think they're going to do a good job.,i'm just holding out until it comes out later this year.,comparison,but,begin,i think they're going to do a good job.  but i'm just holding out until it comes out later this year.,"Oh yeah, I'm a little worried that they're going to mess up the franchise."
"well, it will be hard to compete with tim curry, the original it.","from the trailers, it looks really scary.",comparison,but,begin,"well, it will be hard to compete with tim curry, the original it.  but from the trailers, it looks really scary.","Oh yeah, It is going to be terrifying.  Do you think Skaarsgard is going to do a good job?"
"well, the original was awesome.",i'm curious to see if they might be more true to the book in this movie.,comparison,but,begin,"well, the original was awesome.  but i'm curious to see if they might be more true to the book in this movie.",It definitely does. I'm glad they're remaking it.  I think it needed an update.
well not for murdering the children ,for everything she did as a ghost when she thought they were alive.,comparison,but,mid,well not for murdering the children but for everything she did as a ghost when she thought they were alive.,Nicole Kidman's characters reasons for what she did?
it was sad ,"you could see she loved them, she just went insane.",contingency,because,mid,"right. it was sad because you could see she loved them, she just went insane.",Oh right. She thought they had a serious photosensitivity to light and she tried to protect him.
they try to figure out how to escape ,inside the hospital something even more sinister is happening.,comparison,but,mid,"it's a simple premise really, a group is trapped in a hospital in a small town. outside there is a group of hooded members circling the hospital. they try to figure out how to escape but inside the hospital something even more sinister is happening.",Oh I loved that series! Tell me a little more about The Void.
"were there a lot of jump scares, ",i can't do jump scares a minute type of horror films anymore.,contingency,because,mid,"that sounds pretty scary. were there a lot of jump scares, because i can't do jump scares a minute type of horror films anymore.","It's a simple premise really, a group is trapped in a hospital in a small town. Outside there is a group of hooded members circling the hospital. They try to figure out how to escape but inside the hospital something even more sinister is happening."
there really wasn't a lot of jump scares ,there was a lot of unsettling imagery.,comparison,but,mid,"there really wasn't a lot of jump scares but there was a lot of unsettling imagery. the practical makeup effects in this film are top notch, a real throwback to the 80's.","That sounds pretty scary. Were there a lot of jump scares, because I can't do jump scares a minute type of horror films anymore."
"i don't know if the witch is indie or not, ",it was so well done.,comparison,but,mid,"i don't know if the witch is indie or not, but it was so well done.",Ya I like to support indie films like It follows. Know any of any other good indie horrors?
"no i have not, ",i have heard good things about it.,comparison,but,mid,"no i have not, but i have heard good things about it.","Agreed, it was different. Have you seen Get Out?"
"i like it, ",not as much as part 1.,comparison,but,mid,"it's pretty good. i like it, but not as much as part 1.",That is a classic. Do you like part 2 as well?
i know.,", part 4 and 5 are good.",comparison,but,begin,"i know. but, part 4 and 5 are good.",Really? That is strange.
"a lot of innocent people died in this house in a terrible way, ",their ghosts decided to kill a family?,contingency,so,mid,"and i really wasn't buying the plot line. a lot of innocent people died in this house in a terrible way, so their ghosts decided to kill a family?",Me too! It felt like the spooky moments really dominated the plot rather than the other way around.
i think in the movie business they call that an homage ,they can skirt being accused of unoriginality.,contingency,so,mid,i think in the movie business they call that an homage so they can skirt being accused of unoriginality.,"Also, I think they were trying to take borrow that religious turmoil vibe from ""The Exorcist"" with their own priest questioning his faith."
i've heard everyone say great things ,i've actually never watched!,comparison,but,mid,i've heard everyone say great things but i've actually never watched!,I think silence of the lambs. It's interesting and slightly difficult to follow but worth it.
it's really crazy to think about movies ,the internet really took off.,temporal,before,mid,it's really crazy to think about movies before the internet really took off.,"They made it look like it actually happened, then kept the actors names pretty quiet for awhile there."
"yeah, horror ",makes you think too.,comparison,but,mid,"yeah, horror but makes you think too.  another one is the rite.",Anthony Hopkins kind of stuff.
where you are biting your nails ,still trying to figure just what's going on.,comparison,but,mid,that's the kind i like.  where you are biting your nails but still trying to figure just what's going on.,Seen that.  It's pretty intense. Keeps you on the edge of your seat.
"i know the remake was good, ",not the same.,comparison,but,mid,"i know the remake was good, but not the same.",Definitely. He's the only one who could play Jack.
"well i'd have to think, ",that one is way up there.,comparison,but,mid,"well i'd have to think, but that one is way up there.",So you never told me your favorite.
"i've never seen it, ","i know the ""here's johnny!""",comparison,but,mid,"i've never seen it, but i know the ""here's johnny!"" part.",Jack Nickelson.
"basically, some young adults that are traveling are used as subjects of torture ",death by wealthy people that pay to use them in that way.,expansion,and,mid,"basically, some young adults that are traveling are used as subjects of torture and death by wealthy people that pay to use them in that way.",I haven't seen it.  What's it about?
"well, it could be disturbing for anyone, ",i think at least 16 and probably closer to 18.  definitely not young kids or pre-teens.,comparison,but,mid,"well, it could be disturbing for anyone, but i think at least 16 and probably closer to 18.  definitely not young kids or pre-teens.",What would be the youngest that you think someone should be to see it?
"well, it is, ",it's also fascinating to those who like horror.,comparison,but,mid,"well, it is, but it's also fascinating to those who like horror.","Yeah, the guy who acts her out. That's just disturbing."
i am not sure ,the plot said the killings will point back to him.,comparison,but,mid,i am not sure but the plot said the killings will point back to him.,How ? Jigsaw is dead?
i may wait for the dvd ,most people know the horror sequels are not great.,contingency,because,mid,i may wait for the dvd because most people know the horror sequels are not great.,I am not sure but the plot said the killings will point back to him.
"it had it's flaws, ",i thought it was ok.,comparison,but,mid,"come on, it wasn't that bad.  it had it's flaws, but i thought it was ok.",unfortunately i have.
"to some extent, ",this one was over the top.,comparison,but,mid,"to some extent, but this one was over the top.  like the guy having sex with the girl and says ""you have perfect nipple placement.""",Isn't that what the friday movies always were?
probably because its from the 70's.,"you should see it, its terrifying.",comparison,but,begin,"probably because its from the 70's.  but you should see it, its terrifying.","I love vampire movies, I wonder why I don't know about it."
"i try to explain to people what lovecraftian or love craft horror is by telling them it involves demons, time ","space, and just cosmo like elements and they still can't get a grasp of it.",expansion,and,mid,"i try to explain to people what lovecraftian or love craft horror is by telling them it involves demons, time and space, and just cosmo like elements and they still can't get a grasp of it.","I know, not a lot of people understand this specific genre of horror is considered inspired from the books of HP Lovecraft."
"i try to explain to people what lovecraftian or love craft horror is by telling them it involves demons, time and space, ",just cosmo like elements and they still can't get a grasp of it.,expansion,and,mid,"i try to explain to people what lovecraftian or love craft horror is by telling them it involves demons, time and space, and just cosmo like elements and they still can't get a grasp of it.","I know, not a lot of people understand this specific genre of horror is considered inspired from the books of HP Lovecraft."
it's somewhat of a tough sub genre to explain ,what happens in these movies are so bizarre.,contingency,because,mid,"it's somewhat of a tough sub genre to explain because what happens in these movies are so bizarre. it's supernatural but more from the universe rather than straight up aliens, or supernatural demons and ghost.","I try to explain to people what lovecraftian or love craft horror is by telling them it involves demons, time and space, and just cosmo like elements and they still can't get a grasp of it."
it's supernatural ,"more from the universe rather than straight up aliens, or supernatural demons and ghost.",comparison,but,mid,"it's somewhat of a tough sub genre to explain because what happens in these movies are so bizarre. it's supernatural but more from the universe rather than straight up aliens, or supernatural demons and ghost.","I try to explain to people what lovecraftian or love craft horror is by telling them it involves demons, time and space, and just cosmo like elements and they still can't get a grasp of it."
"oh ok. i've heard of it, ",haven't seen it yet.,comparison,but,mid,"oh ok. i've heard of it, but haven't seen it yet.",It's called Get Out.
"i don't know, ",that kid was so scary.,comparison,but,mid,"i don't know, but that kid was so scary. he was so innocent looking, but the evil ones always do.",Gregory Peck and Lee Remick had lots of chemistry. I wonder if they acted together before.
"he was so innocent looking, ",the evil ones always do.,comparison,but,mid,"i don't know, but that kid was so scary. he was so innocent looking, but the evil ones always do.",Gregory Peck and Lee Remick had lots of chemistry. I wonder if they acted together before.
"if they mentioned my wife i would, ","i would have definitely told others, or have others watching me.",comparison,but,mid,"if they mentioned my wife i would, but i would have definitely told others, or have others watching me.",Would you just go to a park to meet someone when they seem crazy? That priest even looks crazy.
"oh i saw it as a child, ",i appreciate the horror of it now.,contingency,so,mid,"oh i saw it as a child, so i appreciate the horror of it now.",Did you watch it as a child or more recently?
"i didn't really understand that either, ","i think it was symbolic of them learning to feed their negative memories and keep them around, but not give in to them.",comparison,but,mid,"i didn't really understand that either, but i think it was symbolic of them learning to feed their negative memories and keep them around, but not give in to them.","Yeah, the only thing I don't understand was the worms at the end of the movie."
"i didn't really understand that either, but i think it was symbolic of them learning to feed their negative memories and keep them around, ",not give in to them.,comparison,but,mid,"i didn't really understand that either, but i think it was symbolic of them learning to feed their negative memories and keep them around, but not give in to them.","Yeah, the only thing I don't understand was the worms at the end of the movie."
"thanks, i actually read a lot about the movie ",i didn't make that up on my own.,contingency,so,mid,"thanks, i actually read a lot about the movie so i didn't make that up on my own.","I never looked at it that way, that's a pretty interesting hypothesis."
i do think it was scary and well done ,not on my favorites list.,comparison,but,mid,i do think it was scary and well done but not on my favorites list.,I think it was still well done and scary.
"abbot and costello meet frankenstein is great, cause dracula is in it.",", it's pretty comedic.",comparison,but,begin,"abbot and costello meet frankenstein is great, cause dracula is in it. but, it's pretty comedic.",Cool. What other vampire movies do you like?
yes but i relate to the american version better.,it was really good.,comparison,but,begin,yes but i relate to the american version better. but it was really good.,You're so right about that. Did you ever see the Japanese original movie called Ju-On?
he didn't want to admit he was scared ,i know he was.,comparison,but,mid,i played a prank on my uncle over the phone once using that voice. he didn't want to admit he was scared but i know he was.,Yeah that creepy voice of hers gave me many nightmares.
i can't recommend the new aliens movie ,it was really boring.,contingency,because,mid,i can't recommend the new aliens movie because it was really boring.,"No, but i really want to because I loved the first one."
"i think it is classified as horror, ",it is also a kind of gothic drama.,comparison,but,mid,"that depends. i think it is classified as horror, but it is also a kind of gothic drama.",Is Crimson Peak a horror movie or something else?
"he isn't the main character, ","if you like him, there is a lot of him.",comparison,but,mid,"he's all right. he isn't the main character, but if you like him, there is a lot of him.","Also it has Tom Hiddleston, who played Loki in the Avengers. How is he in the movie?"
"it is atmospheric, and tense sometimes, ",never truly horrific.,comparison,but,mid,"that is what makes me unsure if crimson peak is horror. it is atmospheric, and tense sometimes, but never truly horrific.",One thing I love about Guillermo del Toro is even his darkest movies are hopeful.
"there's a sequel too called '28 weeks later', ",in my opinion it's not as good.,comparison,but,mid,"there's a sequel too called '28 weeks later', but in my opinion it's not as good.",Oh I love that movie. That's scary in its own way.
"i don't remember right, ",i think he'd eat eyes.,comparison,but,mid,"i don't remember right, but i think he'd eat eyes.","Oh, was it the one with the monster with the eyes."
it was such a harsh movie ,you can still view it multiple times.,comparison,but,mid,i love his cinematic style. it was such a harsh movie but you can still view it multiple times.,It really was. The directing by Danny Boyle was fantastic.
"feels claustrophobic too, ",you get a visceral reaction to it.,contingency,so,mid,"right, it was really groundbreaking. feels claustrophobic too, so you get a visceral reaction to it.",That was an excellent movie. A lot of controversial themes in it too.
the scene at the end where the hero dies ,of a mistake is so sad though.,contingency,because,mid,i know. the scene at the end where the hero dies because of a mistake is so sad though.,"Right, it was really groundbreaking. Feels claustrophobic too, so you get a visceral reaction to it."
"it was, ",that was necessary.,comparison,but,mid,"it was, but that was necessary. there are tons of touching moments too.",Was it very depressing?
"they see ghosts who have been bloodied, ",it's not scary.,comparison,but,mid,"it's not scary is the issue. they see ghosts who have been bloodied, but it's not scary.","That's an extreme opposite, though, and shouldn't apply."
"They see ghosts who have been bloodied, but it's not scary.",what's it?,contingency,so,begin,so what's it?,"It's not scary is the issue. They see ghosts who have been bloodied, but it's not scary."
oh cool.,it's just two people in the whole movie.,contingency,so,begin,oh cool. so it's just two people in the whole movie.,The reason given in the movie is that the couple are actually making a documentary about Bigfoot sighting in the area they're camping in.
"well, there are a few other minor characters ","yes, most of the movie is just about couple in their 30's making a bigfoot documentary.",comparison,but,mid,"well, there are a few other minor characters but yes, most of the movie is just about couple in their 30's making a bigfoot documentary.",Oh cool. So it's just two people in the whole movie.
well it is horror in its theme and subject matter ,overall it is funny,comparison,but,mid,well it is horror in its theme and subject matter but overall it is funny,What?
"i like several, ",probably amityville horror and stephen king's it.,comparison,but,mid,"i like several, but probably amityville horror and stephen king's it.",What are some of your favorites?
